RUN	STATISTIC	VALUE
034	time_input	2.82792
034	time_solve	1060.52
034	compression_ratio	0.0999069
035	L_final	369.742
035	lanczos_mean	11.2686
035	lanczos_min	6
035	lanczos_max	307
035	lanczos_mean_converged	0
035	lanczos_min_converged	0
035	lanczos_max_converged	0
035	time_input	2.89626
035	time_solve	954.342
035	compression_ratio	0.0999069
036	L_final	313.287
036	lanczos_mean	11.5718
036	lanczos_min	7
036	lanczos_max	311
036	lanczos_mean_converged	0
036	lanczos_min_converged	0
036	lanczos_max_converged	0
036	time_input	3.27464
036	time_solve	1088.48
036	compression_ratio	0.0999069
037	L_final	330.376
037	lanczos_mean	11.1015
037	lanczos_min	6
037	lanczos_max	315
037	lanczos_mean_converged	0
037	lanczos_min_converged	0
037	lanczos_max_converged	0
037	time_input	3.01024
037	time_solve	1134.87
037	compression_ratio	0.0999069
038	L_final	354.507
038	lanczos_mean	11.1386
038	lanczos_min	6
038	lanczos_max	311
038	lanczos_mean_converged	0
038	lanczos_min_converged	0
038	lanczos_max_converged	0
038	time_input	2.96613
038	time_solve	1041.86
038	compression_ratio	0.0999069
039	iterations	60
039	L_final	348.288
039	lanczos_mean	8.25
039	lanczos_min	6
039	lanczos_max	10
039	lanczos_mean_converged	305.375
039	lanczos_min_converged	299
039	lanczos_max_converged	315
039	time_input	2.90477
039	time_solve	1011.27
039	compression_ratio	0.0999069
040	iterations	80
040	L_final	327.969
040	lanczos_mean	8.14506
040	lanczos_min	6
040	lanczos_max	10
040	lanczos_mean_converged	303.625
040	lanczos_min_converged	296
040	lanczos_max_converged	309
040	time_input	3.17576
040	time_solve	1148.28
040	compression_ratio	0.0999069
041	iterations	98
041	L_final	316.534
041	lanczos_mean	8.17803
041	lanczos_min	6
041	lanczos_max	10
041	lanczos_mean_converged	305.25
041	lanczos_min_converged	300
041	lanczos_max_converged	310
041	time_input	2.6233
041	time_solve	1089.38
041	compression_ratio	0.0999069
042	iterations	52
042	L_final	344.98
042	lanczos_mean	8.26651
042	lanczos_min	6
042	lanczos_max	11
042	lanczos_mean_converged	305.5
042	lanczos_min_converged	300
042	lanczos_max_converged	312
042	time_input	2.75187
042	time_solve	962.085
042	compression_ratio	0.0999069
043	iterations	91
043	L_final	331.617
043	lanczos_mean	8.28668
043	lanczos_min	6
043	lanczos_max	10
043	lanczos_mean_converged	304.5
043	lanczos_min_converged	297
043	lanczos_max_converged	309
043	time_input	3.02558
043	time_solve	1055.26
043	compression_ratio	0.0999069
044	L_final	361.493
044	lanczos_mean	10.9406
044	lanczos_min	6
044	lanczos_max	308
044	lanczos_mean_converged	0
044	lanczos_min_converged	0
044	lanczos_max_converged	0
044	time_input	2.91043
044	time_solve	938.268
044	compression_ratio	0.0999069
045	iterations	65
045	L_final	350.039
045	lanczos_mean	8.39583
045	lanczos_min	7
045	lanczos_max	10
045	lanczos_mean_converged	304.625
045	lanczos_min_converged	294
045	lanczos_max_converged	314
045	time_input	3.33779
045	time_solve	986.517
045	compression_ratio	0.0999069
046	L_final	359.915
046	lanczos_mean	11.4455
046	lanczos_min	7
046	lanczos_max	309
046	lanczos_mean_converged	0
046	lanczos_min_converged	0
046	lanczos_max_converged	0
046	time_input	3.4886
046	time_solve	1013.94
046	compression_ratio	0.0999069
047	iterations	94
047	L_final	349.4
047	lanczos_mean	8.32632
047	lanczos_min	6
047	lanczos_max	10
047	lanczos_mean_converged	303.25
047	lanczos_min_converged	296
047	lanczos_max_converged	310
047	time_input	3.2761
047	time_solve	1106.36
047	compression_ratio	0.0999069
048	L_final	364.514
048	lanczos_mean	11.1683
048	lanczos_min	6
048	lanczos_max	307
048	lanczos_mean_converged	0
048	lanczos_min_converged	0
048	lanczos_max_converged	0
048	time_input	4.92262
048	time_solve	977.294
048	compression_ratio	0.0999069
049	iterations	59
049	L_final	355.11
049	lanczos_mean	8.46667
049	lanczos_min	6
049	lanczos_max	10
049	lanczos_mean_converged	305.25
049	lanczos_min_converged	298
049	lanczos_max_converged	314
049	time_input	2.92501
049	time_solve	987.347
049	compression_ratio	0.0999069
050	L_final	349.482
050	lanczos_mean	11.2735
050	lanczos_min	7
050	lanczos_max	310
050	lanczos_mean_converged	0
050	lanczos_min_converged	0
050	lanczos_max_converged	0
050	time_input	2.85221
050	time_solve	1166.92
050	compression_ratio	0.0999069
051	L_final	359.479
051	lanczos_mean	10.9579
051	lanczos_min	7
051	lanczos_max	307
051	lanczos_mean_converged	0
051	lanczos_min_converged	0
051	lanczos_max_converged	0
051	time_input	3.14731
051	time_solve	1129.5
051	compression_ratio	0.0999069
052	L_final	350.626
052	lanczos_mean	11.3762
052	lanczos_min	6
052	lanczos_max	314
052	lanczos_mean_converged	0
052	lanczos_min_converged	0
052	lanczos_max_converged	0
052	time_input	2.63831
052	time_solve	1084.01
052	compression_ratio	0.0999069
053	L_final	392.567
053	lanczos_mean	10.75
053	lanczos_min	6
053	lanczos_max	314
053	lanczos_mean_converged	0
053	lanczos_min_converged	0
053	lanczos_max_converged	0
053	time_input	3.48261
053	time_solve	988.933
053	compression_ratio	0.0999069
054	L_final	346.277
054	lanczos_mean	11.1064
054	lanczos_min	6
054	lanczos_max	311
054	lanczos_mean_converged	0
054	lanczos_min_converged	0
054	lanczos_max_converged	0
054	time_input	2.97443
054	time_solve	1094.22
054	compression_ratio	0.0999069
055	iterations	86
055	L_final	376.482
055	lanczos_mean	8.12213
055	lanczos_min	6
055	lanczos_max	10
055	lanczos_mean_converged	304.375
055	lanczos_min_converged	300
055	lanczos_max_converged	310
055	time_input	2.70195
055	time_solve	1091.95
055	compression_ratio	0.0999069
056	L_final	321.217
056	lanczos_mean	11.0297
056	lanczos_min	6
056	lanczos_max	315
056	lanczos_mean_converged	0
056	lanczos_min_converged	0
056	lanczos_max_converged	0
056	time_input	3.28344
056	time_solve	1036.73
056	compression_ratio	0.0999069
057	iterations	64
057	L_final	334.355
057	lanczos_mean	8.18077
057	lanczos_min	6
057	lanczos_max	10
057	lanczos_mean_converged	307.125
057	lanczos_min_converged	301
057	lanczos_max_converged	315
057	time_input	2.82021
057	time_solve	1042.24
057	compression_ratio	0.0999069
058	L_final	337.531
058	lanczos_mean	11.1535
058	lanczos_min	7
058	lanczos_max	314
058	lanczos_mean_converged	0
058	lanczos_min_converged	0
058	lanczos_max_converged	0
058	time_input	3.1127
058	time_solve	1097.93
058	compression_ratio	0.0999069
059	iterations	56
059	L_final	351.977
059	lanczos_mean	8.47149
059	lanczos_min	7
059	lanczos_max	10
059	lanczos_mean_converged	302.625
059	lanczos_min_converged	295
059	lanczos_max_converged	311
059	time_input	2.83152
059	time_solve	949.679
059	compression_ratio	0.0999069
060	iterations	44
060	L_final	358.354
060	lanczos_mean	8.05278
060	lanczos_min	7
060	lanczos_max	10
060	lanczos_mean_converged	304.5
060	lanczos_min_converged	294
060	lanczos_max_converged	312
060	time_input	3.11291
060	time_solve	893.775
060	compression_ratio	0.0999069
061	iterations	79
061	L_final	372.445
061	lanczos_mean	8.45
061	lanczos_min	7
061	lanczos_max	11
061	lanczos_mean_converged	303.75
061	lanczos_min_converged	295
061	lanczos_max_converged	308
061	time_input	3.1269
061	time_solve	911.384
061	compression_ratio	0.0999069
062	iterations	40
062	L_final	365.2
062	lanczos_mean	8.51524
062	lanczos_min	7
062	lanczos_max	11
062	lanczos_mean_converged	304.25
