K	M	STATISTIC	VALUE
20	50	lanczos_min_converged	0
20	50	lanczos_max_converged	0
20	50	time_input	19.5696
20	50	time_solve	273.795
20	50	compression_ratio	0.353766
20	60	iterations	69
20	60	L_final	2291.34
20	60	lanczos_mean	0
20	60	lanczos_min	0
20	60	lanczos_max	0
20	60	lanczos_mean_converged	0
20	60	lanczos_min_converged	0
20	60	lanczos_max_converged	0
20	60	time_input	19.5788
20	60	time_solve	306.56
20	60	compression_ratio	0.42437
20	70	iterations	69
20	70	L_final	1737.17
20	70	lanczos_mean	0
20	70	lanczos_min	0
20	70	lanczos_max	0
20	70	lanczos_mean_converged	0
20	70	lanczos_min_converged	0
20	70	lanczos_max_converged	0
20	70	time_input	18.4935
20	70	time_solve	339.387
20	70	compression_ratio	0.494975
20	80	iterations	69
20	80	L_final	1355.15
20	80	lanczos_mean	0
20	80	lanczos_min	0
20	80	lanczos_max	0
20	80	lanczos_mean_converged	0
20	80	lanczos_min_converged	0
20	80	lanczos_max_converged	0
20	80	time_input	19.6264
20	80	time_solve	373.576
20	80	compression_ratio	0.565579
20	90	iterations	69
20	90	L_final	1080.76
20	90	lanczos_mean	0
20	90	lanczos_min	0
20	90	lanczos_max	0
20	90	lanczos_mean_converged	0
20	90	lanczos_min_converged	0
20	90	lanczos_max_converged	0
20	90	time_input	19.5406
20	90	time_solve	415.845
20	90	compression_ratio	0.636184
20	100	iterations	69
20	100	L_final	876.586
20	100	lanczos_mean	0
20	100	lanczos_min	0
20	100	lanczos_max	0
20	100	lanczos_mean_converged	0
20	100	lanczos_min_converged	0
20	100	lanczos_max_converged	0
20	100	time_input	18.4779
20	100	time_solve	454.991
20	100	compression_ratio	0.706788
20	110	iterations	69
20	110	L_final	721.716
20	110	lanczos_mean	0
20	110	lanczos_min	0
20	110	lanczos_max	0
20	110	lanczos_mean_converged	0
20	110	lanczos_min_converged	0
20	110	lanczos_max_converged	0
20	110	time_input	18.4848
20	110	time_solve	502.428
20	110	compression_ratio	0.777393
20	120	iterations	69
20	120	L_final	602.069
20	120	lanczos_mean	0
20	120	lanczos_min	0
20	120	lanczos_max	0
20	120	lanczos_mean_converged	0
20	120	lanczos_min_converged	0
20	120	lanczos_max_converged	0
20	120	time_input	19.4975
20	120	time_solve	554.982
20	120	compression_ratio	0.847997
20	130	iterations	69
20	130	L_final	508.147
20	130	lanczos_mean	0
20	130	lanczos_min	0
20	130	lanczos_max	0
20	130	lanczos_mean_converged	0
20	130	lanczos_min_converged	0
20	130	lanczos_max_converged	0
20	130	time_input	19.5151
20	130	time_solve	610.867
20	130	compression_ratio	0.918601
20	140	iterations	69
20	140	L_final	433.048
20	140	lanczos_mean	0
20	140	lanczos_min	0
20	140	lanczos_max	0
20	140	lanczos_mean_converged	0
20	140	lanczos_min_converged	0
20	140	lanczos_max_converged	0
20	140	time_input	18.6235
20	140	time_solve	672.478
20	140	compression_ratio	0.989206
30	10	iterations	77
30	10	L_final	27080.9
30	10	lanczos_mean	7.52179
