K	M	STATISTIC	VALUE
4	130	lanczos_min	0
4	130	lanczos_max	0
4	130	lanczos_mean_converged	0
4	130	lanczos_min_converged	0
4	130	lanczos_max_converged	0
4	130	time_input	41.0655
4	130	time_solve	292.42
4	130	compression_ratio	0.183986
4	140	iterations	34
4	140	L_final	1427.57
4	140	lanczos_mean	0
4	140	lanczos_min	0
4	140	lanczos_max	0
4	140	lanczos_mean_converged	0
4	140	lanczos_min_converged	0
4	140	lanczos_max_converged	0
4	140	time_input	15.9349
4	140	time_solve	335.148
4	140	compression_ratio	0.198107
4	150	iterations	34
4	150	L_final	1240.17
4	150	lanczos_mean	0
4	150	lanczos_min	0
4	150	lanczos_max	0
4	150	lanczos_mean_converged	0
4	150	lanczos_min_converged	0
4	150	lanczos_max_converged	0
4	150	time_input	17.0353
4	150	time_solve	376.244
4	150	compression_ratio	0.212228
4	160	iterations	34
4	160	L_final	1083.9
4	160	lanczos_mean	0
4	160	lanczos_min	0
4	160	lanczos_max	0
4	160	lanczos_mean_converged	0
4	160	lanczos_min_converged	0
4	160	lanczos_max_converged	0
4	160	time_input	16.202
4	160	time_solve	406.643
4	160	compression_ratio	0.226349
4	170	iterations	34
4	170	L_final	953.661
4	170	lanczos_mean	0
4	170	lanczos_min	0
4	170	lanczos_max	0
4	170	lanczos_mean_converged	0
4	170	lanczos_min_converged	0
4	170	lanczos_max_converged	0
4	170	time_input	16.9199
4	170	time_solve	461.819
4	170	compression_ratio	0.24047
4	180	iterations	34
4	180	L_final	843.49
4	180	lanczos_mean	0
4	180	lanczos_min	0
4	180	lanczos_max	0
4	180	lanczos_mean_converged	0
4	180	lanczos_min_converged	0
4	180	lanczos_max_converged	0
4	180	time_input	17.6018
4	180	time_solve	497.596
4	180	compression_ratio	0.254591
4	190	iterations	34
4	190	L_final	749.241
4	190	lanczos_mean	0
4	190	lanczos_min	0
4	190	lanczos_max	0
4	190	lanczos_mean_converged	0
4	190	lanczos_min_converged	0
4	190	lanczos_max_converged	0
4	190	time_input	16.3305
4	190	time_solve	533.08
4	190	compression_ratio	0.268712
4	200	iterations	34
4	200	L_final	669.191
4	200	lanczos_mean	0
4	200	lanczos_min	0
4	200	lanczos_max	0
4	200	lanczos_mean_converged	0
4	200	lanczos_min_converged	0
4	200	lanczos_max_converged	0
4	200	time_input	17.6046
4	200	time_solve	594.078
4	200	compression_ratio	0.282832
5	10	iterations	82
5	10	L_final	76020.5
5	10	lanczos_mean	0
5	10	lanczos_min	0
5	10	lanczos_max	0
5	10	lanczos_mean_converged	0
5	10	lanczos_min_converged	0
5	10	lanczos_max_converged	0
5	10	time_input	16.3343
5	10	time_solve	118.504
5	10	compression_ratio	0.0180864
5	20	iterations	82
5	20	L_final	32012.1
5	20	lanczos_mean	0
5	20	lanczos_min	0
5	20	lanczos_max	0
5	20	lanczos_mean_converged	0
5	20	lanczos_min_converged	0
5	20	lanczos_max_converged	0
5	20	time_input	17.0174
