VARIABLE	ENSEMBLE	RMSZ	EXCLUDED
Z3	g16.040.cam.h0.0001-01-01-00000.nc	0.894944	0
Z3	g16.041.cam.h0.0001-01-01-00000.nc	0.759262	0
Z3	g16.042.cam.h0.0001-01-01-00000.nc	1.09649	0
Z3	g16.043.cam.h0.0001-01-01-00000.nc	0.937153	0
Z3	g16.044.cam.h0.0001-01-01-00000.nc	0.946103	0
Z3	g16.045.cam.h0.0001-01-01-00000.nc	1.17551	0
Z3	g16.046.cam.h0.0001-01-01-00000.nc	0.902073	0
Z3	g16.047.cam.h0.0001-01-01-00000.nc	1.05701	0
Z3	g16.048.cam.h0.0001-01-01-00000.nc	1.23732	0
Z3	g16.049.cam.h0.0001-01-01-00000.nc	0.873088	0
Z3	g16.050.cam.h0.0001-01-01-00000.nc	0.908192	0
Z3	g16.051.cam.h0.0001-01-01-00000.nc	0.921317	0
Z3	g16.052.cam.h0.0001-01-01-00000.nc	1.13611	0
Z3	g16.053.cam.h0.0001-01-01-00000.nc	1.06522	0
Z3	g16.054.cam.h0.0001-01-01-00000.nc	0.95472	0
Z3	g16.055.cam.h0.0001-01-01-00000.nc	0.977952	0
Z3	g16.056.cam.h0.0001-01-01-00000.nc	1.10565	0
Z3	g16.057.cam.h0.0001-01-01-00000.nc	0.962017	0
Z3	g16.058.cam.h0.0001-01-01-00000.nc	1.10409	0
Z3	g16.059.cam.h0.0001-01-01-00000.nc	1.59502	0
Z3	g16.060.cam.h0.0001-01-01-00000.nc	0.865079	0
Z3	g16.061.cam.h0.0001-01-01-00000.nc	1.19315	0
Z3	g16.062.cam.h0.0001-01-01-00000.nc	1.07697	0
Z3	g16.063.cam.h0.0001-01-01-00000.nc	0.976496	0
Z3	g16.064.cam.h0.0001-01-01-00000.nc	1.09169	0
Z3	g16.065.cam.h0.0001-01-01-00000.nc	0.840326	0
Z3	g16.066.cam.h0.0001-01-01-00000.nc	0.999286	0
Z3	g16.067.cam.h0.0001-01-01-00000.nc	0.811917	0
Z3	g16.068.cam.h0.0001-01-01-00000.nc	1.08828	0
Z3	g16.069.cam.h0.0001-01-01-00000.nc	0.955163	0
Z3	g16.070.cam.h0.0001-01-01-00000.nc	0.939673	0
Z3	g16.071.cam.h0.0001-01-01-00000.nc	1.09006	0
Z3	g16.072.cam.h0.0001-01-01-00000.nc	0.85756	0
Z3	g16.073.cam.h0.0001-01-01-00000.nc	1.20774	0
Z3	g16.074.cam.h0.0001-01-01-00000.nc	1.15762	0
Z3	g16.075.cam.h0.0001-01-01-00000.nc	0.971902	0
Z3	g16.076.cam.h0.0001-01-01-00000.nc	0.980608	0
Z3	g16.077.cam.h0.0001-01-01-00000.nc	0.813883	0
Z3	g16.078.cam.h0.0001-01-01-00000.nc	1.38824	0
Z3	g16.079.cam.h0.0001-01-01-00000.nc	0.983406	0
Z3	g16.080.cam.h0.0001-01-01-00000.nc	0.920351	0
Z3	g16.081.cam.h0.0001-01-01-00000.nc	0.807686	0
Z3	g16.082.cam.h0.0001-01-01-00000.nc	1.08921	0
Z3	g16.083.cam.h0.0001-01-01-00000.nc	1.0552	0
Z3	g16.084.cam.h0.0001-01-01-00000.nc	0.876161	0
Z3	g16.085.cam.h0.0001-01-01-00000.nc	0.754731	0
Z3	g16.086.cam.h0.0001-01-01-00000.nc	0.888951	0
Z3	g16.087.cam.h0.0001-01-01-00000.nc	1.08967	0
Z3	g16.088.cam.h0.0001-01-01-00000.nc	1.17785	0
Z3	g16.089.cam.h0.0001-01-01-00000.nc	0.937811	0
Z3	g16.090.cam.h0.0001-01-01-00000.nc	0.926509	0
Z3	g16.091.cam.h0.0001-01-01-00000.nc	1.15253	0
Z3	g16.092.cam.h0.0001-01-01-00000.nc	0.875209	0
Z3	g16.093.cam.h0.0001-01-01-00000.nc	0.896243	0
Z3	g16.094.cam.h0.0001-01-01-00000.nc	0.933809	0
Z3	g16.095.cam.h0.0001-01-01-00000.nc	0.99861	0
Z3	g16.096.cam.h0.0001-01-01-00000.nc	1.04613	0
Z3	g16.097.cam.h0.0001-01-01-00000.nc	1.03755	0
Z3	g16.098.cam.h0.0001-01-01-00000.nc	0.956675	0
Z3	g16.099.cam.h0.0001-01-01-00000.nc	0.854701	0
Z3	g16.100.cam.h0.0001-01-01-00000.nc	1.29606	0
FSDSC	g16.000.cam.h0.0001-01-01-00000.nc	1.03991	0
FSDSC	g16.001.cam.h0.0001-01-01-00000.nc	0.949	0
FSDSC	g16.002.cam.h0.0001-01-01-00000.nc	1.07686	0
FSDSC	g16.003.cam.h0.0001-01-01-00000.nc	0.939614	0
FSDSC	g16.004.cam.h0.0001-01-01-00000.nc	0.960535	0
FSDSC	g16.005.cam.h0.0001-01-01-00000.nc	0.921318	0
FSDSC	g16.006.cam.h0.0001-01-01-00000.nc	0.99234	0
FSDSC	g16.007.cam.h0.0001-01-01-00000.nc	1.03726	0
FSDSC	g16.008.cam.h0.0001-01-01-00000.nc	0.917813	0
FSDSC	g16.009.cam.h0.0001-01-01-00000.nc	1.17529	0
FSDSC	g16.010.cam.h0.0001-01-01-00000.nc	1.10037	0
FSDSC	g16.011.cam.h0.0001-01-01-00000.nc	1.12551	0
FSDSC	g16.012.cam.h0.0001-01-01-00000.nc	1.10264	0
FSDSC	g16.013.cam.h0.0001-01-01-00000.nc	0.987455	0
FSDSC	g16.014.cam.h0.0001-01-01-00000.nc	1.00825	0
FSDSC	g16.015.cam.h0.0001-01-01-00000.nc	0.977517	0
FSDSC	g16.016.cam.h0.0001-01-01-00000.nc	0.91098	0
FSDSC	g16.017.cam.h0.0001-01-01-00000.nc	1.08072	0
FSDSC	g16.018.cam.h0.0001-01-01-00000.nc	1.02619	0
FSDSC	g16.019.cam.h0.0001-01-01-00000.nc	1.08292	0
FSDSC	g16.020.cam.h0.0001-01-01-00000.nc	1.03294	0
FSDSC	g16.021.cam.h0.0001-01-01-00000.nc	0.996962	0
FSDSC	g16.022.cam.h0.0001-01-01-00000.nc	0.915125	0
FSDSC	g16.023.cam.h0.0001-01-01-00000.nc	0.997529	0
FSDSC	g16.024.cam.h0.0001-01-01-00000.nc	0.964854	0
FSDSC	g16.025.cam.h0.0001-01-01-00000.nc	1.05325	0
FSDSC	g16.026.cam.h0.0001-01-01-00000.nc	1.02567	0
FSDSC	g16.027.cam.h0.0001-01-01-00000.nc	1.03395	0
FSDSC	g16.028.cam.h0.0001-01-01-00000.nc	1.04839	0
FSDSC	g16.029.cam.h0.0001-01-01-00000.nc	1.0881	0
FSDSC	g16.030.cam.h0.0001-01-01-00000.nc	1.09969	0
FSDSC	g16.031.cam.h0.0001-01-01-00000.nc	0.93333	0
FSDSC	g16.032.cam.h0.0001-01-01-00000.nc	1.00552	0
FSDSC	g16.033.cam.h0.0001-01-01-00000.nc	1.09661	0
FSDSC	g16.034.cam.h0.0001-01-01-00000.nc	1.02615	0
FSDSC	g16.035.cam.h0.0001-01-01-00000.nc	0.98516	0
FSDSC	g16.036.cam.h0.0001-01-01-00000.nc	1.06766	0
FSDSC	g16.037.cam.h0.0001-01-01-00000.nc	0.997566	0
FSDSC	g16.038.cam.h0.0001-01-01-00000.nc	1.08991	0
FSDSC	g16.039.cam.h0.0001-01-01-00000.nc	1.16274	0
FSDSC	g16.040.cam.h0.0001-01-01-00000.nc	1.04703	0
FSDSC	g16.041.cam.h0.0001-01-01-00000.nc	0.918666	0
FSDSC	g16.042.cam.h0.0001-01-01-00000.nc	1.03946	0
FSDSC	g16.043.cam.h0.0001-01-01-00000.nc	1.03916	0
FSDSC	g16.044.cam.h0.0001-01-01-00000.nc	1.00716	0
FSDSC	g16.045.cam.h0.0001-01-01-00000.nc	1.10291	0
FSDSC	g16.046.cam.h0.0001-01-01-00000.nc	1.01566	0
FSDSC	g16.047.cam.h0.0001-01-01-00000.nc	1.02191	0
FSDSC	g16.048.cam.h0.0001-01-01-00000.nc	0.996956	0
FSDSC	g16.049.cam.h0.0001-01-01-00000.nc	0.993743	0
FSDSC	g16.050.cam.h0.0001-01-01-00000.nc	1.00334	0
