VARIABLE	K	M	STATISTIC	VALUE
FREQL	6	160	precisionbits	3.21268
ICIMR	6	160	min_original	0
ICIMR	6	160	max_original	0.00012157
ICIMR	6	160	mean_original	2.08026e-06
ICIMR	6	160	std_original	5.65876e-06
ICIMR	6	160	min_reconstructed	-3.67195e-06
ICIMR	6	160	max_reconstructed	0.0001214
ICIMR	6	160	mean_reconstructed	2.08026e-06
ICIMR	6	160	std_reconstructed	5.65411e-06
ICIMR	6	160	max_error	0.0884008
ICIMR	6	160	rms_error	0.00188581
ICIMR	6	160	correlation	0.999179
ICIMR	6	160	srr	4.62543
ICIMR	6	160	precisionbits	2.4998
Z3	6	160	min_original	41.1775
Z3	6	160	max_original	37654.4
Z3	6	160	mean_original	11238.9
Z3	6	160	std_original	10065.7
Z3	6	160	min_reconstructed	-35.0762
Z3	6	160	max_reconstructed	37669.6
Z3	6	160	mean_reconstructed	11238.9
Z3	6	160	std_reconstructed	10065.7
Z3	6	160	max_error	0.00868188
Z3	6	160	rms_error	0.000325103
Z3	6	160	correlation	0.999999
Z3	6	160	srr	9.68502
Z3	6	160	precisionbits	5.84778
WSUB	6	160	min_original	0.2
WSUB	6	160	max_original	1.30369
WSUB	6	160	mean_original	0.245025
WSUB	6	160	std_original	0.0820812
WSUB	6	160	min_reconstructed	0.176999
WSUB	6	160	max_reconstructed	1.28667
WSUB	6	160	mean_reconstructed	0.245025
WSUB	6	160	std_reconstructed	0.0820607
WSUB	6	160	max_error	0.0552837
WSUB	6	160	rms_error	0.00166319
WSUB	6	160	correlation	0.99975
WSUB	6	160	srr	5.48269
WSUB	6	160	precisionbits	3.177
FREQS	6	160	min_original	0
FREQS	6	160	max_original	0.940525
FREQS	6	160	mean_original	0.0930056
FREQS	6	160	std_original	0.156255
FREQS	6	160	min_reconstructed	-0.0253744
FREQS	6	160	max_reconstructed	0.980429
FREQS	6	160	mean_reconstructed	0.0930056
FREQS	6	160	std_reconstructed	0.156228
FREQS	6	160	max_error	0.0769153
FREQS	6	160	rms_error	0.00307728
FREQS	6	160	correlation	0.999828
FREQS	6	160	srr	5.75456
FREQS	6	160	precisionbits	2.70058
AQSNOW	6	160	min_original	0
AQSNOW	6	160	max_original	0.00024403
AQSNOW	6	160	mean_original	3.16677e-06
AQSNOW	6	160	std_original	6.6366e-06
AQSNOW	6	160	min_reconstructed	-5.98358e-06
AQSNOW	6	160	max_reconstructed	0.000235293
AQSNOW	6	160	mean_reconstructed	3.16677e-06
AQSNOW	6	160	std_reconstructed	6.62724e-06
AQSNOW	6	160	max_error	0.0749932
AQSNOW	6	160	rms_error	0.00144439
AQSNOW	6	160	correlation	0.998589
AQSNOW	6	160	srr	4.23486
AQSNOW	6	160	precisionbits	2.7371
NUMICE	6	160	min_original	0
NUMICE	6	160	max_original	854591
NUMICE	6	160	mean_original	6914.6
NUMICE	6	160	std_original	20217.7
NUMICE	6	160	min_reconstructed	-11535.8
NUMICE	6	160	max_reconstructed	853626
NUMICE	6	160	mean_reconstructed	6914.6
NUMICE	6	160	std_reconstructed	20189.6
NUMICE	6	160	max_error	0.0473716
NUMICE	6	160	rms_error	0.00124695
NUMICE	6	160	correlation	0.99861
NUMICE	6	160	srr	4.24583
NUMICE	6	160	precisionbits	3.39983
Q	6	160	min_original	1.24165e-06
Q	6	160	max_original	0.0183988
Q	6	160	mean_original	0.00258097
Q	6	160	std_original	0.00426885
Q	6	160	min_reconstructed	-3.72907e-05
Q	6	160	max_reconstructed	0.0184198
Q	6	160	mean_reconstructed	0.00258097
Q	6	160	std_reconstructed	0.0042688
Q	6	160	max_error	0.0273147
Q	6	160	rms_error	0.00108124
Q	6	160	correlation	0.999989
Q	6	160	srr	7.7455
Q	6	160	precisionbits	4.19418
VQ	6	160	min_original	-0.092088
VQ	6	160	max_original	0.107227
VQ	6	160	mean_original	0.000428235
VQ	6	160	std_original	0.0100806
VQ	6	160	min_reconstructed	-0.0921772
VQ	6	160	max_reconstructed	0.107724
VQ	6	160	mean_reconstructed	0.000428235
VQ	6	160	std_reconstructed	0.0100778
VQ	6	160	max_error	0.0372088
VQ	6	160	rms_error	0.0011892
VQ	6	160	correlation	0.999724
VQ	6	160	srr	5.4104
VQ	6	160	precisionbits	3.74821
UU	6	160	min_original	0.726122
UU	6	160	max_original	5151.92
UU	6	160	mean_original	336.572
UU	6	160	std_original	465.964
UU	6	160	min_reconstructed	-44.7575
UU	6	160	max_reconstructed	5177.62
UU	6	160	mean_reconstructed	336.572
UU	6	160	std_reconstructed	465.869
UU	6	160	max_error	0.0388149
UU	6	160	rms_error	0.00182828
UU	6	160	correlation	0.999796
UU	6	160	srr	5.62868
UU	6	160	precisionbits	3.68725
WTKE	6	160	min_original	0.2
WTKE	6	160	max_original	1.30369
WTKE	6	160	mean_original	0.245025
WTKE	6	160	std_original	0.0820812
WTKE	6	160	min_reconstructed	0.176999
WTKE	6	160	max_reconstructed	1.28667
WTKE	6	160	mean_reconstructed	0.245025
WTKE	6	160	std_reconstructed	0.0820607
WTKE	6	160	max_error	0.0552837
WTKE	6	160	rms_error	0.00166319
WTKE	6	160	correlation	0.99975
WTKE	6	160	srr	5.48269
WTKE	6	160	precisionbits	3.177
num_a2	6	160	min_original	1.51736e+06
num_a2	6	160	max_original	7.84934e+09
num_a2	6	160	mean_original	1.62863e+08
num_a2	6	160	std_original	1.61637e+08
num_a2	6	160	min_reconstructed	-8.9637e+07
num_a2	6	160	max_reconstructed	7.46083e+09
num_a2	6	160	mean_reconstructed	1.62863e+08
num_a2	6	160	std_reconstructed	1.61069e+08
num_a2	6	160	max_error	0.103764
num_a2	6	160	rms_error	0.00172526
num_a2	6	160	correlation	0.996486
num_a2	6	160	srr	3.5775
num_a2	6	160	precisionbits	2.26862
num_a3	6	160	min_original	1.8269e-05
num_a3	6	160	max_original	7.57759e+07
num_a3	6	160	mean_original	454517
num_a3	6	160	std_original	1.37612e+06
num_a3	6	160	min_reconstructed	-819509
num_a3	6	160	max_reconstructed	7.92201e+07
num_a3	6	160	mean_reconstructed	454517
num_a3	6	160	std_reconstructed	1.37472e+06
num_a3	6	160	max_error	0.0454525
num_a3	6	160	rms_error	0.000817524
num_a3	6	160	correlation	0.998986
num_a3	6	160	srr	4.47339
num_a3	6	160	precisionbits	3.4595
num_a1	6	160	min_original	802563
num_a1	6	160	max_original	1.27248e+10
num_a1	6	160	mean_original	9.29036e+07
