K	M	STATISTIC	VALUE
4	10	lanczos_mean_converged	0
4	10	lanczos_min_converged	0
4	10	lanczos_max_converged	0
4	10	time_input	1.91246
4	10	time_solve	151.806
4	10	compression_ratio	0.465939
4	20	iterations	34
4	20	L_final	18996.1
4	20	lanczos_mean	0
4	20	lanczos_min	0
4	20	lanczos_max	0
4	20	lanczos_mean_converged	0
4	20	lanczos_min_converged	0
4	20	lanczos_max_converged	0
4	20	time_input	1.98048
4	20	time_solve	163.054
4	20	compression_ratio	0.920512
4	30	iterations	34
4	30	L_final	6574.93
4	30	lanczos_mean	0
4	30	lanczos_min	0
4	30	lanczos_max	0
4	30	lanczos_mean_converged	0
4	30	lanczos_min_converged	0
4	30	lanczos_max_converged	0
4	30	time_input	1.92198
4	30	time_solve	177.285
4	30	compression_ratio	1.37509
4	40	iterations	34
4	50	iterations	34
4	60	iterations	34
4	70	iterations	34
4	80	iterations	34
5	10	iterations	54
5	10	L_final	63547.2
5	10	lanczos_mean	0
5	10	lanczos_min	0
5	10	lanczos_max	0
5	10	lanczos_mean_converged	0
5	10	lanczos_min_converged	0
5	10	lanczos_max_converged	0
5	10	time_input	1.90659
5	10	time_solve	260.333
5	10	compression_ratio	0.579583
5	20	iterations	54
5	20	L_final	18284.2
5	20	lanczos_mean	0
5	20	lanczos_min	0
5	20	lanczos_max	0
5	20	lanczos_mean_converged	0
5	20	lanczos_min_converged	0
5	20	lanczos_max_converged	0
5	20	time_input	1.84829
5	20	time_solve	269.387
5	20	compression_ratio	1.1478
5	30	iterations	54
5	30	L_final	6809.38
5	30	lanczos_mean	0
5	30	lanczos_min	0
5	30	lanczos_max	0
5	30	lanczos_mean_converged	0
5	30	lanczos_min_converged	0
5	30	lanczos_max_converged	0
5	30	time_input	1.8494
5	30	time_solve	290.44
5	30	compression_ratio	1.71602
5	40	iterations	54
5	50	iterations	54
5	60	iterations	54
5	70	iterations	54
5	80	iterations	54
6	10	iterations	48
6	10	L_final	58538.1
6	10	lanczos_mean	0
6	10	lanczos_min	0
6	10	lanczos_max	0
6	10	lanczos_mean_converged	0
6	10	lanczos_min_converged	0
6	10	lanczos_max_converged	0
6	10	time_input	2.12704
6	10	time_solve	236.782
6	10	compression_ratio	0.693227
6	20	iterations	48
6	20	L_final	14878.9
6	20	lanczos_mean	0
6	20	lanczos_min	0
6	20	lanczos_max	0
6	20	lanczos_mean_converged	0
6	20	lanczos_min_converged	0
6	20	lanczos_max_converged	0
6	20	time_input	1.94773
6	20	time_solve	255.022
6	20	compression_ratio	1.37509
6	30	iterations	48
6	30	L_final	5053.47
6	30	lanczos_mean	0
6	30	lanczos_min	0
6	30	lanczos_max	0
6	30	lanczos_mean_converged	0
6	30	lanczos_min_converged	0
6	30	lanczos_max_converged	0
6	30	time_input	2.02743
6	30	time_solve	269.711
6	30	compression_ratio	2.05695
6	40	iterations	48
6	40	L_final	1806.79
6	40	lanczos_mean	0
6	40	lanczos_min	0
6	40	lanczos_max	0
6	40	lanczos_mean_converged	0
6	40	lanczos_min_converged	0
6	40	lanczos_max_converged	0
6	40	time_input	2.13931
6	40	time_solve	286.539
6	40	compression_ratio	2.73881
6	50	iterations	48
6	50	L_final	601.462
6	50	lanczos_mean	0
6	50	lanczos_min	0
6	50	lanczos_max	0
6	50	lanczos_mean_converged	0
6	50	lanczos_min_converged	0
6	50	lanczos_max_converged	0
6	50	time_input	2.16534
6	50	time_solve	297.626
6	50	compression_ratio	3.42066
6	60	iterations	48
6	60	L_final	162.512
