VARIABLE	K	M	STATISTIC	VALUE
soa_a1	1	10	srr	0.429087
soa_a1	1	10	precisionbits	-0.779627
AREL	1	10	min_original	0
AREL	1	10	max_original	9.03571
AREL	1	10	mean_original	0.44885
AREL	1	10	std_original	0.997112
AREL	1	10	min_reconstructed	-1.13727
AREL	1	10	max_reconstructed	6.77134
AREL	1	10	mean_reconstructed	0.44885
AREL	1	10	std_reconstructed	0.928971
AREL	1	10	max_error	0.386768
AREL	1	10	rms_error	0.040094
AREL	1	10	correlation	0.931662
AREL	1	10	srr	1.46066
AREL	1	10	precisionbits	0.370461
AREI	1	10	min_original	0
AREI	1	10	max_original	62.891
AREI	1	10	mean_original	4.31814
AREI	1	10	std_original	7.50973
AREI	1	10	min_reconstructed	-11.2202
AREI	1	10	max_reconstructed	48.1218
AREI	1	10	mean_reconstructed	4.31814
AREI	1	10	std_reconstructed	6.87891
AREI	1	10	max_error	0.509794
AREI	1	10	rms_error	0.0479043
AREI	1	10	correlation	0.916
AREI	1	10	srr	1.31768
AREI	1	10	precisionbits	-0.0279862
OMEGA	1	10	min_original	-1.00316
OMEGA	1	10	max_original	0.828433
OMEGA	1	10	mean_original	-0.000671521
OMEGA	1	10	std_original	0.0285833
OMEGA	1	10	min_reconstructed	-0.0776829
OMEGA	1	10	max_reconstructed	0.0322612
OMEGA	1	10	mean_reconstructed	-0.000671521
OMEGA	1	10	std_reconstructed	0.00985043
OMEGA	1	10	max_error	0.529812
OMEGA	1	10	rms_error	0.0146497
OMEGA	1	10	correlation	0.344622
OMEGA	1	10	srr	0.0912001
OMEGA	1	10	precisionbits	-0.0835535
RELHUM	1	10	min_original	0.0059569
RELHUM	1	10	max_original	130.875
RELHUM	1	10	mean_original	47.3473
RELHUM	1	10	std_original	31.957
RELHUM	1	10	min_reconstructed	-9.69086
RELHUM	1	10	max_reconstructed	127.89
RELHUM	1	10	mean_reconstructed	47.3473
RELHUM	1	10	std_reconstructed	31.5421
RELHUM	1	10	max_error	0.21824
RELHUM	1	10	rms_error	0.0392217
RELHUM	1	10	correlation	0.987016
RELHUM	1	10	srr	2.63828
RELHUM	1	10	precisionbits	1.19602
bc_a1	1	10	min_original	1.73846e-15
bc_a1	1	10	max_original	2.77532e-09
bc_a1	1	10	mean_original	1.73599e-11
bc_a1	1	10	std_original	6.13829e-11
bc_a1	1	10	min_reconstructed	-1.0779e-10
bc_a1	1	10	max_reconstructed	2.71063e-10
bc_a1	1	10	mean_reconstructed	1.73599e-11
bc_a1	1	10	std_reconstructed	3.99379e-11
bc_a1	1	10	max_error	0.919842
bc_a1	1	10	rms_error	0.0167957
bc_a1	1	10	correlation	0.650635
bc_a1	1	10	srr	0.397086
bc_a1	1	10	precisionbits	-0.879458
FICE	1	10	min_original	2.77556e-17
FICE	1	10	max_original	0.999715
FICE	1	10	mean_original	0.24578
FICE	1	10	std_original	0.29576
FICE	1	10	min_reconstructed	-0.110562
FICE	1	10	max_reconstructed	1.46268
FICE	1	10	mean_reconstructed	0.24578
FICE	1	10	std_reconstructed	0.292772
FICE	1	10	max_error	0.468293
FICE	1	10	rms_error	0.0419496
FICE	1	10	correlation	0.989896
FICE	1	10	srr	2.81811
FICE	1	10	precisionbits	0.0945167
AWNC	1	10	min_original	0
