VARIABLE	INFO	VALUE
UFLX	levels	31
UFLX	name	Zonal momentum flux
OCNFRAC	levels	1
OCNFRAC	name	Fraction of sfc area covered by ocean
QRL	levels	30
QRL	name	Longwave heating rate
TS	levels	1
TS	name	Surface temperature (radiative)
QRS	levels	30
QRS	name	Solar heating rate
PRECSH	levels	1
PRECSH	name	Shallow Convection precipitation rate
OMEGAT	levels	30
OMEGAT	name	Vertical heat flux
EXTINCT	levels	30
EXTINCT	name	Aerosol extinction
TGCLDLWP	levels	1
TGCLDLWP	name	Total grid-box cloud liquid water path
SSTSFMBL	levels	1
SSTSFMBL	name	Mobilization flux at surface
CLOUD	levels	30
CLOUD	name	Cloud fraction
LHFLX	levels	1
LHFLX	name	Surface latent heat flux
SSTSFDRY	levels	1
SSTSFDRY	name	Dry deposition flux at surface
FSNT	levels	1
FSNT	name	Net solar flux at top of model
TSMN	levels	1
TSMN	name	Minimum surface temperature over output period
PRECCDZM	levels	1
PRECCDZM	name	Convective precipitation rate from ZM deep
FREQR	levels	30
FREQR	name	Fractional occurance of rain
TROP_P	levels	1
TROP_P	name	Tropopause Pressure
FSNSC	levels	1
FSNSC	name	Clearsky net solar flux at surface
SO2	levels	30
SO2	name	SO2 concentration
VT	levels	30
VT	name	Meridional heat transport
VU	levels	30
VU	name	Meridional flux of zonal momentum
VV	levels	30
VV	name	Meridional velocity squared
TAUTMSY	levels	1
TAUTMSY	name	Meridional turbulent mountain surface stress
TAUTMSX	levels	1
TAUTMSX	name	Zonal turbulent mountain surface stress
TROP_Z	levels	1
TROP_Z	name	Tropopause Height
U	levels	30
U	name	Zonal wind
CMFDT	levels	30
CMFDT	name	T tendency - shallow convection
AQRAIN	levels	30
AQRAIN	name	Average rain mixing ratio
QT	levels	30
QT	name	Total water mixing ratio
DSTSFMBL	levels	1
DSTSFMBL	name	Mobilization flux at surface
dgnw_a02	levels	30
dgnw_a02	name	wet dgnum, interstitial, mode 02
dgnw_a03	levels	30
dgnw_a03	name	wet dgnum, interstitial, mode 03
SOAG	levels	30
SOAG	name	SOAG concentration
dgnw_a01	levels	30
dgnw_a01	name	wet dgnum, interstitial, mode 01
SNOWHICE	levels	1
SNOWHICE	name	Water equivalent snow depth
QC	levels	30
QC	name	Q tendency - shallow convection LW export
AODVIS	levels	1
AODVIS	name	Aerosol optical depth 550 nm
CMFMC	levels	31
CMFMC	name	Moist shallow convection mass flux
