K	M	STATISTIC	VALUE
12	210	time_input	15.8464
12	210	time_solve	956.983
12	210	compression_ratio	0.132021
12	220	L_final	160.715
12	220	lanczos_mean	10.6436
12	220	lanczos_min	6
12	220	lanczos_max	341
12	220	lanczos_mean_converged	0
12	220	lanczos_min_converged	0
12	220	lanczos_max_converged	0
12	220	time_input	9.34228
12	220	time_solve	1045.19
12	220	compression_ratio	0.138278
12	230	L_final	143.86
12	230	lanczos_mean	10.7781
12	230	lanczos_min	6
12	230	lanczos_max	353
12	230	lanczos_mean_converged	0
12	230	lanczos_min_converged	0
12	230	lanczos_max_converged	0
12	230	time_input	8.92912
12	230	time_solve	1119.36
12	230	compression_ratio	0.144535
12	240	L_final	129.095
12	240	lanczos_mean	10.9134
12	240	lanczos_min	6
12	240	lanczos_max	368
12	240	lanczos_mean_converged	0
12	240	lanczos_min_converged	0
12	240	lanczos_max_converged	0
12	240	time_input	8.8889
12	240	time_solve	1200.68
12	240	compression_ratio	0.150792
12	250	L_final	116.161
12	250	lanczos_mean	11.047
12	250	lanczos_min	6
12	250	lanczos_max	381
12	250	lanczos_mean_converged	0
12	250	lanczos_min_converged	0
12	250	lanczos_max_converged	0
12	250	time_input	9.32078
12	250	time_solve	1292.53
12	250	compression_ratio	0.157049
13	160	L_final	289.317
13	160	lanczos_mean	9.90175
13	160	lanczos_min	6
13	160	lanczos_max	254
13	160	lanczos_mean_converged	0
13	160	lanczos_min_converged	0
13	160	lanczos_max_converged	0
13	160	time_input	11.9907
13	160	time_solve	712.777
13	160	compression_ratio	0.104049
13	170	L_final	252.235
13	170	lanczos_mean	10.0472
13	170	lanczos_min	6
13	170	lanczos_max	268
13	170	lanczos_mean_converged	0
13	170	lanczos_min_converged	0
13	170	lanczos_max_converged	0
13	170	time_input	9.80271
13	170	time_solve	776.587
13	170	compression_ratio	0.110512
13	180	L_final	220.947
13	180	lanczos_mean	10.1721
13	180	lanczos_min	6
13	180	lanczos_max	284
13	180	lanczos_mean_converged	0
13	180	lanczos_min_converged	0
13	180	lanczos_max_converged	0
13	180	time_input	8.47806
13	180	time_solve	834.103
13	180	compression_ratio	0.116974
13	190	L_final	194.517
13	190	lanczos_mean	10.3168
13	190	lanczos_min	6
13	190	lanczos_max	299
13	190	lanczos_mean_converged	0
13	190	lanczos_min_converged	0
13	190	lanczos_max_converged	0
13	190	time_input	8.88998
13	190	time_solve	909.182
13	190	compression_ratio	0.123437
13	200	L_final	171.967
13	200	lanczos_mean	10.444
13	200	lanczos_min	6
13	200	lanczos_max	313
13	200	lanczos_mean_converged	0
13	200	lanczos_min_converged	0
13	200	lanczos_max_converged	0
13	200	time_input	10.182
13	200	time_solve	967.142
13	200	compression_ratio	0.1299
13	210	L_final	152.612
13	210	lanczos_mean	10.5758
13	210	lanczos_min	6
13	210	lanczos_max	324
13	210	lanczos_mean_converged	0
13	210	lanczos_min_converged	0
13	210	lanczos_max_converged	0
13	210	time_input	10.1775
13	210	time_solve	1029.52
13	210	compression_ratio	0.136362
13	220	L_final	135.918
13	220	lanczos_mean	10.7296
13	220	lanczos_min	6
13	220	lanczos_max	340
13	220	lanczos_mean_converged	0
13	220	lanczos_min_converged	0
13	220	lanczos_max_converged	0
13	220	time_input	15.744
13	220	time_solve	1123.22
13	220	compression_ratio	0.142825
13	230	L_final	121.393
13	230	lanczos_mean	10.8507
13	230	lanczos_min	6
13	230	lanczos_max	354
13	230	lanczos_mean_converged	0
13	230	lanczos_min_converged	0
13	230	lanczos_max_converged	0
13	230	time_input	13.7726
13	230	time_solve	1200.85
13	230	compression_ratio	0.149288
13	240	L_final	108.679
13	240	lanczos_mean	10.9909
13	240	lanczos_min	6
13	240	lanczos_max	369
13	240	lanczos_mean_converged	0
13	240	lanczos_min_converged	0
13	240	lanczos_max_converged	0
13	240	time_input	14.9019
13	240	time_solve	1286.86
13	240	compression_ratio	0.15575
13	250	L_final	97.514
13	250	lanczos_mean	11.1181
13	250	lanczos_min	6
13	250	lanczos_max	382
13	250	lanczos_mean_converged	0
13	250	lanczos_min_converged	0
13	250	lanczos_max_converged	0
13	250	time_input	12.1007
13	250	time_solve	1369.28
13	250	compression_ratio	0.162213
14	160	L_final	284.924
14	160	lanczos_mean	10.1089
14	160	lanczos_min	6
14	160	lanczos_max	257
14	160	lanczos_mean_converged	0
14	160	lanczos_min_converged	0
14	160	lanczos_max_converged	0
14	160	time_input	8.85558
14	160	time_solve	764.288
14	160	compression_ratio	0.107362
14	170	L_final	248.156
14	170	lanczos_mean	10.2511
14	170	lanczos_min	6
14	170	lanczos_max	272
14	170	lanczos_mean_converged	0
14	170	lanczos_min_converged	0
14	170	lanczos_max_converged	0
14	170	time_input	8.87346
14	170	time_solve	831.412
14	170	compression_ratio	0.11403
14	180	L_final	217.233
14	180	lanczos_mean	10.3762
14	180	lanczos_min	6
14	180	lanczos_max	286
14	180	lanczos_mean_converged	0
14	180	lanczos_min_converged	0
14	180	lanczos_max_converged	0
14	180	time_input	8.8605
14	180	time_solve	892.406
14	180	compression_ratio	0.120698
14	190	L_final	191.13
14	190	lanczos_mean	10.5092
14	190	lanczos_min	6
14	190	lanczos_max	299
14	190	lanczos_mean_converged	0
14	190	lanczos_min_converged	0
14	190	lanczos_max_converged	0
14	190	time_input	8.82573
14	190	time_solve	960.673
14	190	compression_ratio	0.127367
14	200	L_final	169.001
14	200	lanczos_mean	10.6506
14	200	lanczos_min	6
14	200	lanczos_max	319
14	200	lanczos_mean_converged	0
14	200	lanczos_min_converged	0
14	200	lanczos_max_converged	0
14	200	time_input	8.87354
14	200	time_solve	1038.35
14	200	compression_ratio	0.134035
14	210	L_final	149.911
14	210	lanczos_mean	10.7765
14	210	lanczos_min	6
14	210	lanczos_max	329
14	210	lanczos_mean_converged	0
14	210	lanczos_min_converged	0
14	210	lanczos_max_converged	0
14	210	time_input	10.1042
14	210	time_solve	1100.67
14	210	compression_ratio	0.140704
14	220	L_final	133.446
14	220	lanczos_mean	10.9201
14	220	lanczos_min	6
14	220	lanczos_max	344
14	220	lanczos_mean_converged	0
14	220	lanczos_min_converged	0
14	220	lanczos_max_converged	0
14	220	time_input	9.35048
14	220	time_solve	1176.82
14	220	compression_ratio	0.147372
14	230	L_final	119.156
14	230	lanczos_mean	11.0615
14	230	lanczos_min	6
14	230	lanczos_max	356
14	230	lanczos_mean_converged	0
14	230	lanczos_min_converged	0
14	230	lanczos_max_converged	0
14	230	time_input	9.61915
14	230	time_solve	1284.33
14	230	compression_ratio	0.15404
14	240	L_final	106.646
14	240	lanczos_mean	11.1902
14	240	lanczos_min	6
14	240	lanczos_max	368
14	240	lanczos_mean_converged	0
14	240	lanczos_min_converged	0
14	240	lanczos_max_converged	0
14	240	time_input	15.5617
14	240	time_solve	1363.76
14	240	compression_ratio	0.160709
14	250	L_final	95.6589
14	250	lanczos_mean	11.3083
14	250	lanczos_min	6
14	250	lanczos_max	383
14	250	lanczos_mean_converged	0
14	250	lanczos_min_converged	0
14	250	lanczos_max_converged	0
14	250	time_input	14.2992
14	250	time_solve	1430.72
14	250	compression_ratio	0.167377
15	160	L_final	276.96
15	160	lanczos_mean	9.5769
15	160	lanczos_min	6
15	160	lanczos_max	254
15	160	lanczos_mean_converged	0
15	160	lanczos_min_converged	0
15	160	lanczos_max_converged	0
15	160	time_input	6.84527
15	160	time_solve	714.355
15	160	compression_ratio	0.110674
15	170	L_final	241.326
15	170	lanczos_mean	9.70957
15	170	lanczos_min	6
15	170	lanczos_max	266
15	170	lanczos_mean_converged	0
15	170	lanczos_min_converged	0
15	170	lanczos_max_converged	0
15	170	time_input	7.24568
15	170	time_solve	774.91
15	170	compression_ratio	0.117548
15	180	L_final	211.384
